Name,Bank Holiday,Date
New Year's Day,1,2009-01-01
Robert Burns Night (Burns Night),0,2009-01-25
Holocaust Memorial Day,0,2009-01-27
Valentines Day,0,2009-02-14
Shrove Tuesday (Pancake Day),0,2009-02-24
Ash Wednesday,0,2009-02-25
St David's Day,0,2009-03-01
St Patricks Day,0,2009-03-17
Mothering Sunday (Mothers Day),0,2009-03-22
British Summertime (BST) Begins,0,2009-03-29
April Fool's Day,0,2009-04-01
Maundy Thursday,0,2009-04-09
Good Friday,1,2009-04-10
Easter Sunday,0,2009-04-12
Easter Monday,1,2009-04-13
Queen Elizabeth's Birthday,0,2009-04-21
St George's Day,0,2009-04-23
May Day (Early May Bank Holiday),1,2009-05-04
Spring Bank Holiday,1,2009-05-25
Trooping the Colour,0,2009-06-14
Father's Day,0,2009-06-21
Emmeline Pankhurst Day,0,2009-07-14
St.Swithun's Day (aka St. Swithin's),0,2009-07-15
Summer Bank Holiday,1,2009-08-31
British Summertime (BST) Ends,0,2009-10-25
Halloween,0,2009-10-31
All Saints Day,0,2009-11-01
Guy Fawkes Night,0,2009-11-05
Remembrance Day (Remembrance Sunday),0,2009-11-08
St Andrew's Day,0,2009-11-30
Christmas,1,2009-12-25
Boxing Day,1,2009-12-28
New Year's Day,1,2010-01-01
Robert Burns Night (Burns Night),0,2010-01-25
Holocaust Memorial Day,0,2010-01-27
Valentines Day,0,2010-02-14
Shrove Tuesday (Pancake Day),0,2010-02-16
Ash Wednesday,0,2010-02-17
St David's Day,0,2010-03-01
Mothering Sunday (Mothers Day),0,2010-03-14
St Patricks Day,0,2010-03-17
British Summertime (BST) Begins,0,2010-03-28
April Fool's Day,0,2010-04-01
Maundy Thursday,0,2010-04-01
Good Friday,1,2010-04-02
Easter Sunday,0,2010-04-04
Easter Monday,1,2010-04-05
Queen Elizabeth's Birthday,0,2010-04-21
St George's Day,0,2010-04-23
May Day (Early May Bank Holiday),1,2010-05-03
Spring Bank Holiday,1,2010-05-31
Trooping the Colour,0,2010-06-14
Father's Day,0,2010-06-20
Emmeline Pankhurst Day,0,2010-07-14
St.Swithun's Day (aka St. Swithin's),0,2010-07-15
Summer Bank Holiday,1,2010-08-30
British Summertime (BST) Ends,0,2010-10-31
Halloween,0,2010-10-31
All Saints Day,0,2010-11-01
Guy Fawkes Night,0,2010-11-05
Remembrance Day (Remembrance Sunday),0,2010-11-14
St Andrew's Day,0,2010-11-30
Boxing Day,1,2010-12-27
Christmas,1,2010-12-28
Hogmanay,0,2011-01-02
New Year's Day,1,2011-01-03
Robert Burns Night (Burns Night),0,2011-01-25
Holocaust Memorial Day,0,2011-01-27
Valentines Day,0,2011-02-14
St David's Day,0,2011-03-01
Shrove Tuesday (Pancake Day),0,2011-03-08
Ash Wednesday,0,2011-03-09
St Patricks Day,0,2011-03-17
British Summertime (BST) Begins,0,2011-03-27
April Fool's Day,0,2011-04-01
Mothering Sunday (Mothers Day),0,2011-04-03
Maundy Thursday,0,2011-04-21
Queen Elizabeth's Birthday,0,2011-04-21
Good Friday,1,2011-04-22
St George's Day,0,2011-04-23
Easter Sunday,0,2011-04-24
Easter Monday,1,2011-04-25
May Day (Early May Bank Holiday),1,2011-05-02
Spring Bank Holiday,1,2011-05-30
Trooping the Colour,0,2011-06-14
Father's Day,0,2011-06-19
Emmeline Pankhurst Day,0,2011-07-14
St.Swithun's Day (aka St. Swithin's),0,2011-07-15
Summer Bank Holiday,1,2011-08-29
British Summertime (BST) Ends,0,2011-10-30
Halloween,0,2011-10-31
All Saints Day,0,2011-11-01
Guy Fawkes Night,0,2011-11-05
Remembrance Day (Remembrance Sunday),0,2011-11-13
St Andrew's Day,0,2011-11-30
Boxing Day,1,2011-12-26
Christmas,1,2011-12-27
Hogmanay,0,2012-01-01
New Year's Day,1,2012-01-02
Robert Burns Night (Burns Night),0,2012-01-25
Holocaust Memorial Day,0,2012-01-27
Valentines Day,0,2012-02-14
Shrove Tuesday (Pancake Day),0,2012-02-21
Ash Wednesday,0,2012-02-22
St David's Day,0,2012-03-01
St Patricks Day,0,2012-03-17
Mothering Sunday (Mothers Day),0,2012-03-18
British Summertime (BST) Begins,0,2012-03-25
April Fool's Day,0,2012-04-01
Maundy Thursday,0,2012-04-05
Good Friday,1,2012-04-06
Easter Sunday,0,2012-04-08
Easter Monday,1,2012-04-09
Queen Elizabeth's Birthday,0,2012-04-21
St George's Day,0,2012-04-23
May Day (Early May Bank Holiday),1,2012-05-07
Spring Bank Holiday,1,2012-05-28
Trooping the Colour,0,2012-06-14
Father's Day,0,2012-06-17
Emmeline Pankhurst Day,0,2012-07-14
St.Swithun's Day (aka St. Swithin's),0,2012-07-15
Summer Bank Holiday,1,2012-08-27
British Summertime (BST) Ends,0,2012-10-28
Halloween,0,2012-10-31
All Saints Day,0,2012-11-01
Guy Fawkes Night,0,2012-11-05
St Andrew's Day,0,2012-11-30
Christmas,1,2012-12-25
Boxing Day,1,2012-12-26
New Year's Day,1,2013-01-01
Robert Burns Night (Burns Night),0,2013-01-25
Holocaust Memorial Day,0,2013-01-27
Shrove Tuesday (Pancake Day),0,2013-02-12
Ash Wednesday,0,2013-02-13
Valentines Day,0,2013-02-14
St David's Day,0,2013-03-01
Mothering Sunday (Mothers Day),0,2013-03-10
St Patricks Day,0,2013-03-17
Maundy Thursday,0,2013-03-28
Good Friday,1,2013-03-29
British Summertime (BST) Begins,0,2013-03-31
Easter Sunday,0,2013-03-31
April Fool's Day,0,2013-04-01
Easter Monday,1,2013-04-01
Queen Elizabeth's Birthday,0,2013-04-21
St George's Day,0,2013-04-23
May Day (Early May Bank Holiday),1,2013-05-06
Spring Bank Holiday,1,2013-05-27
Trooping the Colour,0,2013-06-14
Father's Day,0,2013-06-16
Emmeline Pankhurst Day,0,2013-07-14
St.Swithun's Day (aka St. Swithin's),0,2013-07-15
Summer Bank Holiday,1,2013-08-26
British Summertime (BST) Ends,0,2013-10-27
Halloween,0,2013-10-31
All Saints Day,0,2013-11-01
Guy Fawkes Night,0,2013-11-05
Remembrance Day (Remembrance Sunday),0,2013-11-10
St Andrew's Day,0,2013-11-30
Christmas,1,2013-12-25
Boxing Day,1,2013-12-26
New Year's Day,1,2014-01-01
Robert Burns Night (Burns Night),0,2014-01-25
Holocaust Memorial Day,0,2014-01-27
Valentines Day,0,2014-02-14
St David's Day,0,2014-03-01
Shrove Tuesday (Pancake Day),0,2014-03-04
Ash Wednesday,0,2014-03-05
St Patricks Day,0,2014-03-17
British Summertime (BST) Begins,0,2014-03-30
Mothering Sunday (Mothers Day),0,2014-03-30
April Fool's Day,0,2014-04-01
Maundy Thursday,0,2014-04-17
Good Friday,1,2014-04-18
Easter Sunday,0,2014-04-20
Easter Monday,1,2014-04-21
Queen Elizabeth's Birthday,0,2014-04-21
St George's Day,0,2014-04-23
May Day (Early May Bank Holiday),1,2014-05-05
Spring Bank Holiday,1,2014-05-26
Trooping the Colour,0,2014-06-14
Father's Day,0,2014-06-15
Emmeline Pankhurst Day,0,2014-07-14
St.Swithun's Day (aka St. Swithin's),0,2014-07-15
Summer Bank Holiday,1,2014-08-25
British Summertime (BST) Ends,0,2014-10-26
Halloween,0,2014-10-31
All Saints Day,0,2014-11-01
Guy Fawkes Night,0,2014-11-05
Remembrance Day (Remembrance Sunday),0,2014-11-09
St Andrew's Day,0,2014-11-30
Christmas,1,2014-12-25
Boxing Day,1,2014-12-26
New Year's Day,1,2015-01-01
Robert Burns Night (Burns Night),0,2015-01-25
Holocaust Memorial Day,0,2015-01-27
Valentines Day,0,2015-02-14
Shrove Tuesday (Pancake Day),0,2015-02-17
Ash Wednesday,0,2015-02-18
St David's Day,0,2015-03-01
Mothering Sunday (Mothers Day),0,2015-03-15
St Patricks Day,0,2015-03-17
British Summertime (BST) Begins,0,2015-03-29
April Fool's Day,0,2015-04-01
Maundy Thursday,0,2015-04-02
Good Friday,1,2015-04-03
Easter Sunday,0,2015-04-05
Easter Monday,1,2015-04-06
Queen Elizabeth's Birthday,0,2015-04-21
St George's Day,0,2015-04-23
May Day (Early May Bank Holiday),1,2015-05-04
Spring Bank Holiday,1,2015-05-25
Trooping the Colour,0,2015-06-14
Father's Day,0,2015-06-21
Emmeline Pankhurst Day,0,2015-07-14
St.Swithun's Day (aka St. Swithin's),0,2015-07-15
Summer Bank Holiday,1,2015-08-31
British Summertime (BST) Ends,0,2015-10-25
Halloween,0,2015-10-31
All Saints Day,0,2015-11-01
Guy Fawkes Night,0,2015-11-05
Remembrance Day (Remembrance Sunday),0,2015-11-08
St Andrew's Day,0,2015-11-30
Christmas,1,2015-12-25
Boxing Day,1,2015-12-28
New Year's Day,1,2016-01-01
Robert Burns Night (Burns Night),0,2016-01-25
Holocaust Memorial Day,0,2016-01-27
Shrove Tuesday (Pancake Day),0,2016-02-09
Ash Wednesday,0,2016-02-10
Valentines Day,0,2016-02-14
St David's Day,0,2016-03-01
Mothering Sunday (Mothers Day),0,2016-03-06
St Patricks Day,0,2016-03-17
Maundy Thursday,0,2016-03-24
Good Friday,1,2016-03-25
British Summertime (BST) Begins,0,2016-03-27
Easter Sunday,0,2016-03-27
Easter Monday,1,2016-03-28
April Fool's Day,0,2016-04-01
Queen Elizabeth's Birthday,0,2016-04-21
St George's Day,0,2016-04-23
May Day (Early May Bank Holiday),1,2016-05-02
Spring Bank Holiday,1,2016-05-30
Trooping the Colour,0,2016-06-14
Father's Day,0,2016-06-19
Emmeline Pankhurst Day,0,2016-07-14
St.Swithun's Day (aka St. Swithin's),0,2016-07-15
Summer Bank Holiday,1,2016-08-29
British Summertime (BST) Ends,0,2016-10-30
Halloween,0,2016-10-31
All Saints Day,0,2016-11-01
Guy Fawkes Night,0,2016-11-05
Remembrance Day (Remembrance Sunday),0,2016-11-13
St Andrew's Day,0,2016-11-30
Boxing Day,1,2016-12-26
Christmas,1,2016-12-27
Hogmanay,0,2017-01-01
New Year's Day,1,2017-01-02
Robert Burns Night (Burns Night),0,2017-01-25
Holocaust Memorial Day,0,2017-01-27
Valentines Day,0,2017-02-14
Shrove Tuesday (Pancake Day),0,2017-02-28
Ash Wednesday,0,2017-03-01
St David's Day,0,2017-03-01
St Patricks Day,0,2017-03-17
British Summertime (BST) Begins,0,2017-03-26
Mothering Sunday (Mothers Day),0,2017-03-26
April Fool's Day,0,2017-04-01
Maundy Thursday,0,2017-04-13
Good Friday,1,2017-04-14
Easter Sunday,0,2017-04-16
Easter Monday,1,2017-04-17
Queen Elizabeth's Birthday,0,2017-04-21
St George's Day,0,2017-04-23
May Day (Early May Bank Holiday),1,2017-05-01
Spring Bank Holiday,1,2017-05-29
Trooping the Colour,0,2017-06-14
Father's Day,0,2017-06-18
Emmeline Pankhurst Day,0,2017-07-14
St.Swithun's Day (aka St. Swithin's),0,2017-07-15
Summer Bank Holiday,1,2017-08-28
British Summertime (BST) Ends,0,2017-10-29
Halloween,0,2017-10-31
All Saints Day,0,2017-11-01
Guy Fawkes Night,0,2017-11-05
Remembrance Day (Remembrance Sunday),0,2017-11-12
St Andrew's Day,0,2017-11-30
Christmas,1,2017-12-25
Boxing Day,1,2017-12-26
New Year's Day,1,2018-01-01
Robert Burns Night (Burns Night),0,2018-01-25
Holocaust Memorial Day,0,2018-01-27
Shrove Tuesday (Pancake Day),0,2018-02-13
Ash Wednesday,0,2018-02-14
Valentines Day,0,2018-02-14
St David's Day,0,2018-03-01
Mothering Sunday (Mothers Day),0,2018-03-11
St Patricks Day,0,2018-03-17
British Summertime (BST) Begins,0,2018-03-25
Maundy Thursday,0,2018-03-29
Good Friday,1,2018-03-30
April Fool's Day,0,2018-04-01
Easter Sunday,0,2018-04-01
Easter Monday,1,2018-04-02
Queen Elizabeth's Birthday,0,2018-04-21
St George's Day,0,2018-04-23
May Day (Early May Bank Holiday),1,2018-05-07
Spring Bank Holiday,1,2018-05-28
Trooping the Colour,0,2018-06-14
Father's Day,0,2018-06-17
Emmeline Pankhurst Day,0,2018-07-14
St.Swithun's Day (aka St. Swithin's),0,2018-07-15
Summer Bank Holiday,1,2018-08-27
British Summertime (BST) Ends,0,2018-10-28
Halloween,0,2018-10-31
All Saints Day,0,2018-11-01
Guy Fawkes Night,0,2018-11-05
St Andrew's Day,0,2018-11-30
Christmas,1,2018-12-25
Boxing Day,1,2018-12-26
New Year's Day,1,2019-01-01
Robert Burns Night (Burns Night),0,2019-01-25
Holocaust Memorial Day,0,2019-01-27
Valentines Day,0,2019-02-14
St David's Day,0,2019-03-01
Shrove Tuesday (Pancake Day),0,2019-03-05
Ash Wednesday,0,2019-03-06
St Patricks Day,0,2019-03-17
British Summertime (BST) Begins,0,2019-03-31
Mothering Sunday (Mothers Day),0,2019-03-31
April Fool's Day,0,2019-04-01
Maundy Thursday,0,2019-04-18
Good Friday,1,2019-04-19
Easter Sunday,0,2019-04-21
Queen Elizabeth's Birthday,0,2019-04-21
Easter Monday,1,2019-04-22
St George's Day,0,2019-04-23
May Day (Early May Bank Holiday),1,2019-05-06
Spring Bank Holiday,1,2019-05-27
Trooping the Colour,0,2019-06-14
Father's Day,0,2019-06-16
Emmeline Pankhurst Day,0,2019-07-14
St.Swithun's Day (aka St. Swithin's),0,2019-07-15
Summer Bank Holiday,1,2019-08-26
British Summertime (BST) Ends,0,2019-10-27
Halloween,0,2019-10-31
All Saints Day,0,2019-11-01
Guy Fawkes Night,0,2019-11-05
Remembrance Day (Remembrance Sunday),0,2019-11-10
St Andrew's Day,0,2019-11-30
Christmas,1,2019-12-25
Boxing Day,1,2019-12-26
New Year's Day,1,2020-01-01
Robert Burns Night (Burns Night),0,2020-01-25
Holocaust Memorial Day,0,2020-01-27
Valentines Day,0,2020-02-14
Shrove Tuesday (Pancake Day),0,2020-02-25
Ash Wednesday,0,2020-02-26
St David's Day,0,2020-03-01
St Patricks Day,0,2020-03-17
Mothering Sunday (Mothers Day),0,2020-03-22
British Summertime (BST) Begins,0,2020-03-29
April Fool's Day,0,2020-04-01
Maundy Thursday,0,2020-04-09
Good Friday,1,2020-04-10
Easter Sunday,0,2020-04-12
Easter Monday,1,2020-04-13
Queen Elizabeth's Birthday,0,2020-04-21
St George's Day,0,2020-04-23
May Day (Early May Bank Holiday),1,2020-05-04
Spring Bank Holiday,1,2020-05-25
Trooping the Colour,0,2020-06-14
Father's Day,0,2020-06-21
Emmeline Pankhurst Day,0,2020-07-14
St.Swithun's Day (aka St. Swithin's),0,2020-07-15
Summer Bank Holiday,1,2020-08-31
British Summertime (BST) Ends,0,2020-10-25
Halloween,0,2020-10-31
All Saints Day,0,2020-11-01
Guy Fawkes Night,0,2020-11-05
Remembrance Day (Remembrance Sunday),0,2020-11-08
St Andrew's Day,0,2020-11-30
Christmas,1,2020-12-25
Boxing Day,1,2020-12-28